EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,ENTITY_NAME,DISPLAY_TYPE,RENDERING_TYPE,REPORT_ID,ROW_COUNT,NUMBER_EXCEPTION_FILTERS,NUMBER_COLUMNS,AVERAGE_ROW_SIZE,SORT,DB_BLOCKS,DB_CPU_TIME,NUMBER_BUCKETS,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED,REPORT_ID_DERIVED
Report,20170909074616,45jFNCmSwi3WSu71hbpaC-,00D58000000KUZ9,00558000000oE5a,703.58325,417,,sample10,sample10,F,562.8666,Account,D,W,00O30000008MTP1,431,0,1,53,,4807,333.6,0,2016-09-26T02:30:52.000Z,005B0000002F9obIAC,221.172.68.31,,00O30000008MTP1EAO
Report,20170906063512,45zQVGxTdj4QHg45xcuyY-,00D58000000KUZ9,00558000000oE5a,581.25,465,,sample11,sample11,S,149.017,Opportunity,H,W,00O30000008MTSK,74,0,14,103,,20467,372,0,2016-09-29T22:15:23.000Z,005B0000002F9oEIAS,244.204.43.69,,00O30000008MTSKEA4
Report,20170921173344,45zOFBlEun1RMs82oxsnY-,00D58000000KUZ10,00558000000oE5a,634.477,372,,sample12,sample12,S,507.5816,Account,D,W,00O30000008MTOm,497,0,11,54,,9564,297.6,0,2016-09-29T06:48:43.000Z,005B0000002F9o9IAC,174.212.125.48,,00O30000008MTOmEAO
Report,20170909074617,45wCGBkLiw5LZh95aqhgC-,00D58000000KUZ10,00558000000oE5a,373.75,299,,sample13,sample13,R,190.6424,Account,S,W,00O30000008MTON,48,0,19,54,,11807,239.2,0,2016-09-07T03:52:07.000Z,005B0000002F9pLIAS,14.26.184.106,,00O30000008MTONEA4
Report,20170909074616,45oACEiIpw1TKv02zoclI-,00D58000000KUZ10,00558000000oE5a,347.5,278,,sample14,sample14,R,218.8230667,Opportunity,H,W,00O3000000843tO,356,0,7,104,,18794,222.4,0,2016-09-09T18:29:00.000Z,005B0000002F9pNIAS,182.187.43.213,,00O3000000843tOEAQ
Report,20170906063512,45qDOLrHzd6AIs29zqldX-,00D58000000KUZ11,00558000000oE5a,422.865,270,,sample15,sample15,S,338.292,Account,H,W,00O30000008YKHW,69,0,2,55,,1236,216,0,2016-09-21T19:38:03.000Z,005B0000002F9pWIAS,14.239.255.151,,00O30000008YKHWEA4
Report,20170921173344,45pBAGiZvt4DWq03psiwQ-,00D58000000KUZ11,00558000000oE5a,625,500,,sample16,sample16,F,41.2,Account,D,W,00O30000008YK2H,138,0,18,55,,6938,400,0,2016-09-08T11:52:07.000Z,005B0000002F9o7IAC,254.140.202.60,,00O30000008YK2HEAW
Report,20170909074617,45zPUOuToq0GXw83omejC-,00D58000000KUZ11,00558000000oE5a,537.5,430,,sample17,sample17,R,198.8893333,Opportunity,H,X,00O3000000843Rt,334,0,6,105,,7274,344,0,2016-09-23T20:23:24.000Z,005B0000002F9oQIAS,93.28.186.83,,00O3000000843RtEAI
Report,20170906063513,45eDPNtFhx3BMs91tvasY-,00D58000000KUZ12,00558000000oE5a,511.25,409,,sample18,sample18,R,198.3377333,Account,H,W,00O3000000843PO,210,0,11,56,,23784,327.2,0,2016-09-08T07:17:10.000Z,005B0000002F9pxIAC,66.43.188.86,,00O3000000843POEAY
Report,20170921173345,45uFZIcKlt2ZKr63ckvtC-,00D58000000KUZ12,00558000000oE5a,130.812,66,,sample19,sample19,S,104.6496,Account,S,W,00O30000008YQsO,330,0,13,51,,17825,52.8,0,2016-09-07T19:10:38.000Z,005B0000002F9nyIAC,82.237.173.198,,00O30000008YQsOEAW
Report,20170909074618,45dBIZpJdu2NIf61mpzhX-,00D58000000KUZ12,00558000000oE5a,616.4479167,415,,sample20,sample20,S,493.1583333,Opportunity,D,X,00O3000000843t4,431,0,19,51,,17379,332,0,2016-09-15T15:48:53.000Z,005B0000002F9pYIAS,114.16.195.165,,00O3000000843t4EAA
Report,20170909074617,45xNACuJvm1LDm34hdqrM-,00D58000000KUZ13,00558000000oE5a,477.9225,330,,sample21,sample21,F,382.338,Account,H,W,00O30000008YK3Z,345,0,8,101,,8186,264,0,2016-09-21T01:26:03.000Z,005B0000002F9o1IAC,254.140.202.60,,00O30000008YK3ZEAW
Report,20170906063513,45qMISeXka8HRl84ebniG-,00D58000000KUZ13,00558000000oE5a,57.5,46,,sample22,sample22,R,25.10373333,Account,D,X,00O30000008YG1t,180,0,16,52,,7887,36.8,0,2016-09-23T11:04:24.000Z,005B0000002F9oAIAS,215.203.255.119,,00O30000008YG1tEAG
Report,20170921173345,45xVBFcNqc5MSf19tqmuG-,00D58000000KUZ13,00558000000oE5a,457.5,366,,sample23,sample23,R,192.4428,Opportunity,H,X,00O3000000843RA,348,0,7,52,,3710,292.8,0,2016-09-07T10:03:04.000Z,005B0000002F9o4IAC,51.22.122.210,,00O3000000843RAEAY
Report,20170909074618,45yIUGkKay5UNz70xalzG-,00D58000000KUZ14,00558000000oE5a,462.5,370,,sample24,sample24,S,91.51333333,Account,S,W,00O3000000843Re,382,0,17,102,,13326,296,0,2016-09-15T08:14:40.000Z,005B0000002F9nyIAC,164.35.221.154,,00O3000000843ReEAI
Report,20170906063514,45vKLGtShb0TAs92gcepV-,00D58000000KUZ14,00558000000oE5a,428.75,343,,sample25,sample25,S,304.7212,Account,H,W,00O3000000843RZ,243,0,4,53,,10696,274.4,0,2016-09-09T23:47:51.000Z,005B0000002F9pJIAS,251.115.43.7,,00O3000000843RZEAY
Report,20170921173346,45zMUPsKik4FOi90jgdtV-,00D58000000KUZ14,00558000000oE5a,271.25,217,,sample26,sample26,R,154.7354667,Opportunity,S,X,00O3000000843TQ,475,0,16,53,,22492,173.6,0,2016-09-30T02:29:33.000Z,005B0000002F9oXIAS,64.7.227.142,,00O3000000843TQEAY
Report,20170909074619,45qRDUjPxa6OXf88lfpvY-,00D58000000KUZ15,00558000000oE5a,597.9123333,319,,sample27,sample27,,478.3298667,Account,H,X,00O3000000843vK,362,0,5,103,,15231,255.2,0,2016-09-22T23:48:40.000Z,005B0000002F9q6IAC,34.164.70.164,,00O3000000843vKEAQ
Report,20170909074618,45dFAPhZmi9SAf27gzfbV-,00D58000000KUZ15,00558000000oE5a,425.19875,335,,sample28,sample28,F,340.159,Account,S,X,00O3000000843Sw,489,0,3,54,,16716,268,0,2016-09-27T15:58:14.000Z,005B0000002F9pfIAC,182.187.43.213,,00O3000000843SwEAI
Report,20170906063514,45aPRKeZlt6IOg85gcinS-,00D58000000KUZ15,00558000000oE5a,342.678,246,,sample29,sample29,F,274.1424,Opportunity,H,X,00O300000084A4Y,194,0,15,54,,5016,196.8,0,2016-09-30T10:52:22.000Z,005B0000002F9oXIAS,202.217.102.229,,00O300000084A4YEAU
Report,20170921173346,45eNQChPuz4MXv70rtbzX-,00D58000000KUZ16,00558000000oE5a,315,252,,sample30,sample30,,84.2688,Account,D,W,00O3000000843Qq,92,0,14,104,,17955,201.6,0,2016-09-16T08:41:20.000Z,005B0000002F9pLIAS,254.140.202.60,,00O3000000843QqEAI
Report,20170909074619,45sNOJqInr2NJg81pywfR-,00D58000000KUZ16,00558000000oE5a,733.1625,490,,sample31,sample31,S,586.53,Account,D,X,00O3000000843S8,229,0,8,55,,10189,392,0,2016-09-08T23:59:37.000Z,005B0000002F9oQIAS,215.92.91.238,,00O3000000843S8EAI
Report,20170906063515,45oNCBxFzf3SRj86epltM-,00D58000000KUZ16,00558000000oE5a,61.25,49,,sample32,sample32,S,33.28406667,Opportunity,S,W,00O3000000843P4,415,0,11,55,,6194,39.2,0,2016-09-09T00:07:22.000Z,005B0000002F9oEIAS,197.101.202.108,,00O3000000843P4EAI
Report,20170921173347,45jBNRtKiw1ZUp26vyekP-,00D58000000KUZ17,00558000000oE5a,330,264,,sample33,sample33,R,109.0144,Account,D,W,00O30000005ir8e,252,0,12,105,,15457,211.2,0,2016-09-05T22:21:26.000Z,005B0000002F9nyIAC,34.164.70.164,,00O30000005ir8eEAA
Report,20170909074620,45fAXIlNjo2AKd95kojzQ-,00D58000000KUZ17,00558000000oE5a,396.7296667,308,,sample34,sample34,F,317.3837333,Account,S,W,00O30000005j1Wl,311,0,8,56,,20171,246.4,0,2016-09-05T00:46:34.000Z,005B0000002F9pxIAC,77.61.187.26,,00O30000005j1WlEAI
Report,20170909074619,45oIMAvSdm8MVw83eylaT-,00D58000000KUZ17,00558000000oE5a,811.88275,483,,sample35,sample35,S,649.5062,Opportunity,H,X,00O30000005ggmQ,336,0,13,56,,1191,386.4,0,2016-09-14T20:04:51.000Z,005B0000002F9nzIAC,156.226.6.98,,00O30000005ggmQEAQ
Report,20170906063515,45wBCUrYwg7JHf33ybplY-,00D58000000KUZ18,00558000000oE5a,215,172,,sample36,sample36,S,13.6568,Account,D,W,00O30000008G1fm,212,0,17,106,,1984,137.6,0,2016-09-28T22:50:31.000Z,005B0000002F9pLIAS,58.40.38.8,,00O30000008G1fmEAC
Report,20170921173347,45gVITrUgj6FOg61pfbjL-,00D58000000KUZ18,00558000000oE5a,435,348,,sample37,sample37,F,46.0288,Account,S,W,00O30000008FzIH,309,0,13,57,,11223,278.4,0,2016-09-30T14:45:17.000Z,005B0000002F9rBIAS,64.7.227.142,,00O30000008FzIHEA0
Report,20170909074620,45eGZWyXmg4DKb40fobvY-,00D58000000KUZ18,00558000000oE5a,128.75,103,,sample38,sample38,F,77.0646,Opportunity,S,X,00O30000005gqBP,124,0,2,52,,19405,82.4,0,2016-09-20T15:09:42.000Z,005B0000002F9o6IAC,11.103.255.194,,00O30000005gqBPEAY
Report,20170906063516,45rHQXrRko5YRi66lzubO-,00D58000000KUZ19,00558000000oE5a,606.40625,375,,sample39,sample39,S,485.125,Account,S,W,00O30000005gPyU,372,0,15,52,,11031,300,0,2016-09-29T09:29:19.000Z,005B0000002F9p8IAC,74.142.113.238,,00O30000005gPyUEAU
Report,20170921173348,45aHNKbUmu7ATy92swyoI-,00D58000000KUZ19,00558000000oE5a,472.5,378,,sample40,sample40,,277.9812,Account,S,W,00O0M0000099o9g,54,0,7,102,,17265,302.4,0,2016-09-26T02:13:38.000Z,005B0000002F9oXIAS,92.156.23.223,,00O0M0000099o9gUAA
Report,20170909074621,45cPAMbAph6AOp82gskvM-,00D58000000KUZ19,00558000000oE5a,113.66125,79,,sample41,sample41,S,90.929,Opportunity,S,W,00O0M000008kLQJ,161,0,3,53,,12107,63.2,0,2016-10-03T04:06:37.000Z,005B0000002F9oSIAS,83.230.35.57,,00O0M000008kLQJUA2
Report,20170909074620,45kZJGaEug5IDd43ubfpI-,00D58000000KUZ20,00558000000oE5a,256.25,205,,sample42,sample42,,165.4623333,Account,S,X,00O0M000008kML0,413,0,11,53,,13183,164,0,2016-09-14T14:21:12.000Z,005B0000002F9oTIAS,23.10.236.110,,00O0M000008kML0UAM
Report,20170906063516,45qWQKsObq1JNr21fgikC-,00D58000000KUZ20,00558000000oE5a,551.25,441,,sample43,sample43,S,387.5802,Account,H,W,00O0M000008kNaG,351,0,12,103,,21651,352.8,0,2016-09-16T21:44:57.000Z,005B0000002F9pWIAS,77.61.187.26,,00O0M000008kNaGUAU
Report,20170921173348,45mKPNjCnz5CJt98hxieZ-,00D58000000KUZ20,00558000000oE5a,117.27625,65,,sample44,sample44,F,93.821,Opportunity,S,W,00O0M000008iDQ6,425,0,9,54,,19459,52,0,2016-09-06T20:15:21.000Z,005B0000002F9pXIAS,77.61.187.26,,00O0M000008iDQ6UAM
Report,20170909074621,45rATOxDym2ZIk16jumsF-,00D58000000KUZ21,00558000000oE5a,718.3614167,443,,sample45,sample45,F,574.6891333,Account,H,W,00O0M000008iDQQ,104,0,14,54,,6143,354.4,0,2016-09-15T19:56:42.000Z,005B0000002F9oQIAS,218.158.87.74,,00O0M000008iDQQUA2
Report,20170906063517,45qKFIeHgf4KBm70jmsgV-,00D58000000KUZ21,00558000000oE5a,317.5,254,,sample46,sample46,S,104.0214667,Account,D,W,00O30000005jal7,215,0,14,104,,10832,203.2,0,2016-09-20T12:24:58.000Z,005B0000002F9rBIAS,92.156.23.223,,00O30000005jal7EAA
Report,20170921173349,45vGSIlEda4YMh10tznuI-,00D58000000KUZ21,00558000000oE5a,160,128,,sample47,sample47,F,92.43306667,Opportunity,H,X,00O30000008GePY,331,0,1,55,,3815,102.4,0,2016-09-05T04:16:51.000Z,005B0000002F9rBIAS,64.7.227.142,,00O30000008GePYEA0
Report,20170909074622,45gPAZrDbi7RGt49xdhoT-,00D58000000KUZ22,00558000000oE5a,392.5,314,,sample48,sample48,,79.86066667,Account,H,W,00O30000008GM8j,143,0,17,55,,14948,251.2,0,2016-09-14T00:06:55.000Z,005B0000002F9obIAC,245.233.147.221,,00O30000008GM8jEAG
Report,20170909074621,45oSIXmIph2OXq11zlpaW-,00D58000000KUZ22,00558000000oE5a,228.75,183,,sample49,sample49,F,182.3656,Account,S,W,00O30000007ZLVd,223,0,3,105,,2823,146.4,0,2016-09-29T01:26:57.000Z,005B0000002F9pWIAS,156.226.6.98,,00O30000007ZLVdEAO
Report,20170906063517,45rDZPnEqb8IUf75cfotV-,00D58000000KUZ22,00558000000oE5a,112.5,90,,sample50,sample50,S,16.938,Opportunity,H,W,00O30000008GRou,104,0,17,56,,12349,72,0,2016-09-28T04:33:21.000Z,005B0000002F9oXIAS,239.197.71.241,,00O30000008GRouEAG
Report,20170921173349,45uNVJoJrk3EYy06edurQ-,00D58000000KUZ23,00558000000oE5a,90,72,,sample51,sample51,S,59.2752,Account,S,X,00O30000008GQb1,150,0,11,56,,7794,57.6,0,2016-09-15T00:23:27.000Z,005B0000002F9pJIAS,51.22.122.210,,00O30000008GQb1EAG
Report,20170909074622,45sTISuLia3UBj96tdukR-,00D58000000KUZ23,00558000000oE5a,421.25,337,,sample52,sample52,S,175.1052,Account,D,X,00O30000007b3bt,44,0,17,106,,11639,269.6,0,2016-09-30T11:12:55.000Z,005B0000002F9o6IAC,91.21.87.42,,00O30000007b3btEAA
Report,20170906063518,45hRSLcZip9RZf80bhjpP-,00D58000000KUZ23,00558000000oE5a,66.25,53,,sample53,sample53,F,41.12446667,Opportunity,H,W,00O30000007Z7bz,320,0,18,57,,12544,42.4,0,2016-09-29T17:26:14.000Z,005B0000002F9o4IAC,113.155.207.220,,00O30000007Z7bzEAC
Report,20170921173350,45cKRNvPyq2QWz30mrnvO-,00D58000000KUZ24,00558000000oE5a,106.25,85,,sample54,sample54,F,71.08266667,Account,S,X,00O30000007ZJa5,321,0,8,57,,13699,68,0,2016-09-15T06:53:34.000Z,005B0000002F9oXIAS,26.55.149.100,,00O30000007ZJa5EAG
Report,20170909074623,45dMUKlHxf2EYp03yqjsD-,00D58000000KUZ24,00558000000oE5a,312.5,250,,sample55,sample55,F,228.3166667,Account,D,X,00O30000007Z3nX,118,0,1,107,,23055,200,0,2016-09-27T08:54:55.000Z,005B0000002F9rNIAS,179.182.39.88,,00O30000007Z3nXEAS
Report,20170909074622,45tQWLaUpv7ZKd89mzcjK-,00D58000000KUZ24,00558000000oE5a,487.9975,254,,sample56,sample56,,390.398,Opportunity,D,W,00O30000008GbY3,326,0,19,58,,12632,203.2,0,2016-09-15T20:50:14.000Z,005B0000002F9oFIAS,58.40.38.8,,00O30000008GbY3EAK
Report,20170906063518,45wAZIfNse9NWg79diqyZ-,00D58000000KUZ25,00558000000oE5a,127.5,102,,sample57,sample57,R,85.8976,Account,D,X,00O30000005jUrE,447,0,4,53,,5868,81.6,0,2016-09-23T16:38:29.000Z,005B0000002F9o9IAC,23.10.236.110,,00O30000005jUrEEAU
Report,20170921173350,45zIWEvVem7XPq56mqrsX-,00D58000000KUZ25,00558000000oE5a,40,32,,sample58,sample58,S,12.5184,Account,H,X,00O30000007Z6v5,226,0,19,53,,22354,25.6,0,2016-09-21T23:03:01.000Z,005B0000002F9oTIAS,49.173.36.129,,00O30000007Z6v5EAC
Report,20170909074623,45zBYXeRkh0VHe25hiqkI-,00D58000000KUZ25,00558000000oE5a,389.3321667,209,,sample59,sample59,R,311.4657333,Opportunity,H,W,00O30000007ZLXA,497,0,16,103,,7811,167.2,0,2016-09-13T18:41:45.000Z,005B0000002F9p8IAC,14.26.184.106,,00O30000007ZLXAEA4
Report,20170906063519,45hCKJzSer4GLe72vsjrA-,00D58000000KUZ26,00558000000oE5a,58.75,47,,sample60,sample60,F,24.47446667,Account,H,W,00O30000007Yzha,157,0,19,54,,23043,37.6,0,2016-09-26T11:55:46.000Z,005B0000002F9oQIAS,31.74.30.80,,00O30000007YzhaEAC
Report,20170921173351,45aDWFmCpe9CPv98ifjrM-,00D58000000KUZ26,00558000000oE5a,512.70675,267,,sample61,sample61,F,410.1654,Account,D,W,00O30000007ZSv4,254,0,3,54,,9760,213.6,0,2016-09-07T01:22:32.000Z,005B0000002F9o1IAC,23.10.236.110,,00O30000007ZSv4EAG
Report,20170909074624,45cPRLwIqx7ODa75ojabV-,00D58000000KUZ26,00558000000oE5a,300,240,,sample62,sample62,F,156.16,Opportunity,S,X,00O30000005h5Js,61,0,15,104,,4253,192,0,2016-09-14T08:21:42.000Z,005B0000002F9o7IAC,245.57.23.167,,00O30000005h5JsEAI
Report,20170909074623,45lEVFcAbz6TIp13tvrjP-,00D58000000KUZ27,00558000000oE5a,558.75,447,,sample63,sample63,S,126.7394,Account,H,X,00O30000007ZTiz,204,0,20,55,,1527,357.6,0,2016-09-08T03:29:07.000Z,005B0000002F9rOIAS,254.126.107.3,,00O30000007ZTizEAG
Report,20170906063519,45jCLStVjg5LSu31qmsiT-,00D58000000KUZ27,00558000000oE5a,146.25,117,,sample64,sample64,S,11.9106,Account,S,X,00O30000007ZNit,293,0,2,55,,3535,93.6,0,2016-09-30T12:57:16.000Z,005B0000002F9oQIAS,34.3.159.189,,00O30000007ZNitEAG
Report,20170921173351,45wXZRkTvs3PHq13kglhZ-,00D58000000KUZ27,00558000000oE5a,542.5,434,,sample65,sample65,S,102.2793333,Opportunity,S,X,00O30000007ZSuk,389,0,20,105,,22151,347.2,0,2016-09-16T12:16:50.000Z,005B0000002F9pYIAS,83.230.35.57,,00O30000007ZSukEAG
Report,20170909074624,45hCWBsPak9FOd47wcgxD-,00D58000000KUZ28,00558000000oE5a,725.44525,393,,sample66,sample66,S,580.3562,Account,S,X,00O30000008HqCd,309,0,15,56,,4672,314.4,0,2016-09-12T20:01:54.000Z,005B0000002F9o3IAC,174.84.112.226,,00O30000008HqCdEAK
Report,20170906063520,45sQOPwRze1OCr86mktoK-,00D58000000KUZ28,00558000000oE5a,610,488,,sample67,sample67,S,151.9957333,Account,S,X,00O30000007Yy6O,26,0,10,56,,2886,390.4,0,2016-09-29T23:29:42.000Z,005B0000002F9o2IAC,164.35.221.154,,00O30000007Yy6OEAS
Report,20170921173352,45tNVBwRqb6WFz08tqhjS-,00D58000000KUZ28,00558000000oE5a,603.75,483,,sample68,sample68,R,92.9292,Opportunity,S,W,00O30000008GaiC,380,0,3,106,,16380,386.4,0,2016-09-06T16:45:17.000Z,005B0000002F9pXIAS,146.186.191.219,,00O30000008GaiCEAS
Report,20170909074625,45uBEXsSex1TXa34bxseN-,00D58000000KUZ29,00558000000oE5a,83.265,61,,sample69,sample69,S,66.612,Account,H,W,00O30000007ZAdK,168,0,20,57,,20137,48.8,0,2016-09-20T09:55:41.000Z,005B0000002F9rNIAS,254.126.107.3,,00O30000007ZAdKEAW
Report,20170909074624,45yAVIhIgn3JZa93hsleP-,00D58000000KUZ29,00558000000oE5a,142.6370833,85,,sample70,sample70,R,114.1096667,Account,S,X,00O30000008GNuo,466,0,1,57,,7520,68,0,2016-09-28T17:15:21.000Z,005B0000002F9q6IAC,244.204.43.69,,00O30000008GNuoEAG
Report,20170906063520,45sLQDnKde9LGn18gbyhP-,00D58000000KUZ29,00558000000oE5a,122.5,98,,sample71,sample71,F,49.13066667,Opportunity,S,W,00O30000005jXhg,40,0,4,107,,24821,78.4,0,2016-09-14T08:39:57.000Z,005B0000002F9qUIAS,254.140.202.60,,00O30000005jXhgEAE
Report,20170921173352,45bXIMaLgo0UXd98dmqsK-,00D58000000KUZ30,00558000000oE5a,862.52975,417,,sample72,sample72,S,690.0238,Account,H,W,00O30000005jDUD,82,0,6,58,,4183,333.6,0,2016-09-27T21:03:52.000Z,005B0000002F9o3IAC,136.39.111.159,,00O30000005jDUDEA2
Report,20170909074625,45eFTKqLia6KYe49fkqpR-,00D58000000KUZ30,00558000000oE5a,477.5,382,,sample73,sample73,F,106.5270667,Account,S,X,00O30000007YxOq,97,0,20,58,,7673,305.6,0,2016-09-19T14:14:26.000Z,005B0000002F9pNIAS,74.142.113.238,,00O30000007YxOqEAK
Report,20170906063521,45mXJKmOqw5EXl56mnjzA-,00D58000000KUZ30,00558000000oE5a,197.5,158,,sample74,sample74,S,80.82226667,Opportunity,H,X,00O30000005jDWO,439,0,17,108,,15681,126.4,0,2016-09-27T23:38:31.000Z,005B0000002F9nyIAC,113.155.207.220,,00O30000005jDWOEA2
Report,20170921173353,45eCMZeZnr8FZd12qegmA-,00D58000000KUZ31,00558000000oE5a,114.994,88,,sample75,sample75,F,91.9952,Account,D,X,00O30000008GY5r,19,0,16,59,,23696,70.4,0,2016-09-28T10:44:09.000Z,005B0000002F9p8IAC,156.226.6.98,,00O30000008GY5rEAG
Report,20170909074626,45oWTZxTkf8QTp98zogdH-,00D58000000KUZ31,00558000000oE5a,61.21466667,31,,sample76,sample76,R,48.97173333,Account,S,W,00O30000008Gd61,30,0,3,54,,7416,24.8,0,2016-09-08T21:08:06.000Z,005B0000002F9oTIAS,195.54.111.90,,00O30000008Gd61EAC
Report,20170909074625,45uFIVgBnz8ECn62pbezZ-,00D58000000KUZ31,00558000000oE5a,260,208,,sample77,sample77,R,102.8352,Opportunity,H,X,00O30000005jSn5,162,0,5,54,,11717,166.4,0,2016-09-14T17:13:55.000Z,005B0000002F9oFIAS,245.233.147.221,,00O30000005jSn5EAE
Report,20170906063521,45bPCLvSut7EOk36veotN-,00D58000000KUZ32,00558000000oE5a,23.75,19,,sample78,sample78,S,14.84153333,Account,H,W,00O30000008GXwa,405,0,19,104,,19910,15.2,0,2016-09-05T12:05:16.000Z,005B0000002F9o6IAC,57.24.248.185,,00O30000008GXwaEAG
Report,20170921173353,45xZULnVvl7VGj11jgpfC-,00D58000000KUZ32,00558000000oE5a,270.4441667,163,,sample79,sample79,F,216.3553333,Account,S,X,00O30000007ZAVV,402,0,6,55,,18592,130.4,0,2016-09-06T20:59:34.000Z,005B0000002F9nyIAC,86.222.112.152,,00O30000007ZAVVEA4
Report,20170909074626,45nWZClBic2OWt78jrufF-,00D58000000KUZ32,00558000000oE5a,117.7493333,76,,sample80,sample80,F,94.19946667,Opportunity,H,W,00O30000005jcup,37,0,3,55,,24843,60.8,0,2016-09-29T22:48:10.000Z,005B0000002F9pJIAS,89.83.31.40,,00O30000005jcupEAA
Report,20170906063522,45zZRJxDeq2POj93uqikO-,00D58000000KUZ33,00558000000oE5a,753.571,364,,sample81,sample81,F,602.8568,Account,H,X,00O30000007YyBd,434,0,2,105,,11396,291.2,0,2016-09-13T04:00:34.000Z,005B0000002F9o3IAC,39.105.208.2,,00O30000007YyBdEAK
Report,20170921173354,45qIJEqBmr3PRt11zcujO-,00D58000000KUZ33,00558000000oE5a,578.75,463,,sample82,sample82,S,351.7565333,Account,H,X,00O30000008GF6g,114,0,8,56,,14829,370.4,0,2016-09-22T21:14:29.000Z,005B0000002F9pNIAS,14.26.184.106,,00O30000008GF6gEAG
Report,20170909074627,45jQFLxIty7VLv72fymlO-,00D58000000KUZ33,00558000000oE5a,582.5,466,,sample83,sample83,S,460.6876,Opportunity,H,W,00O30000005jDvO,368,0,7,56,,6162,372.8,0,2016-10-03T05:22:54.000Z,005B0000002F9o8IAC,254.126.107.3,,00O30000005jDvOEAU
