EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,DB_BLOCKS,DB_CPU_TIME,REFERRER_URI,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
URI,20170814022207,45gBPJbNcu4YVj93hpsjC-,00DB0000000HbMZ,005B0000002F9pXIAS,466.9725833,307,/_ui/common/data/LookupResultsFrame,sample,sample,,373.5780667,18253,245.6,,2017-08-14T02:22:07.000Z,005B0000002F9pX,83.230.35.57,/_ui/analytics/crt/setup/CrtWizard
URI,20170819140313,45jSZDmRwm2ROz27agcwH-,00DB0000000HbMZ,005B0000002F9rOIAS,145.7408333,110,/_ui/common/data/LookupSearchFrame,sample9,sample9,S,116.5926667,15899,88,,2017-08-19T14:03:13.000Z,005B0000002F9rO,98.11.196.107,/_ui/analytics/crt/setup/CustomReportTypeSplashUi
URI,20170821231024,45pMCUiBsh6VIk18hafbE-,00DB0000000HbMZ,005B0000002F9o8IAC,300,240,/_ui/core/userprofile/UserProfilePage,sample10,sample10,S,101.04,6315,192,,2017-08-21T23:10:24.000Z,005B0000002F9o8,89.83.31.40,/_ui/common/data/LookupPage
URI,20170823234200,45iXJSrIqk9VRo12aksvT-,00DB0000000HbMZ,005B0000002F9oZIAS,315.5936667,244,/_ui/perms/ui/profile/ApexClassProfilePermissionEdit/e,sample,sample,S,252.4749333,15521,195.2,,2017-08-23T23:42:00.000Z,005B0000002F9oZ,113.255.205.116,/_ui/common/data/LookupResultsFrame
URI,20161003220821,45gEKQtOfr6WTy02fpshY-,00DB0000000HbMZ,005B0000002F9pWIAS,223.75,179,/_ui/sales/forecasting/ui/ForecastingTabPage,sample10,sample10,R,155.4674667,13028,143.2,,2016-10-03T22:08:21.000Z,005B0000002F9pW,92.156.23.223,/_ui/common/data/LookupSearchFrame
URI,20170828025407,45bYNOlJlt6ICp84vshaZ-,00DB0000000HbMZ,005B0000002F9o6IAC,485,388,/ex/404.jsp,sample11,sample11,S,153.2858667,5926,310.4,,2017-08-28T02:54:07.000Z,005B0000002F9o6,43.10.59.246,/_ui/core/userprofile/UserProfilePage
URI,20170812232605,45sMFJkBit8WUg14vtugF-,00DB0000000HbMZ,005B0000002F9rBIAS,165.7575,90,/ex/exception.jsp,sample,sample,,132.606,22101,72,,2017-08-12T23:26:05.000Z,005B0000002F9rB,77.61.187.26,/_ui/perms/ui/profile/ApexClassProfilePermissionEdit/e
URI,20170815132654,45lFOTzTtc8UAg22liqoX-,00DB0000000HbMZ,005B0000002F9pNIAS,597.8433333,388,/home/home.jsp,sample11,sample11,S,478.2746667,18490,310.4,,2017-08-15T13:26:54.000Z,005B0000002F9pN,244.204.43.69,/_ui/sales/forecasting/ui/ForecastingTabPage
URI,20170827095343,45xQEFfIbx4GZj37sgwiO-,00DB0000000HbMZ,005B0000002F9oEIAS,95,76,/home/showAllTabs.jsp,sample12,sample12,F,64.5544,12741,60.8,,2017-08-27T09:53:43.000Z,005B0000002F9oE,39.124.13.13,/ex/404.jsp
URI,20170823012754,45kXYKvJdx3MSr32kbvyF-,00DB0000000HbMZ,005B0000002F9o8IAC,432.978,338,/maps/SourceBuilder,sample,sample,F,346.3824,15372,270.4,,2017-08-23T01:27:54.000Z,005B0000002F9o8,89.83.31.40,/ex/exception.jsp
URI,20170815083213,45tNOJaNep6LVj45hlmrS-,00DB0000000HbMZ,005B0000002F9o4IAC,513.75,411,/merge/conmergewizard.jsp,sample12,sample12,S,209.7744,7656,328.8,,2017-08-15T08:32:13.000Z,005B0000002F9o4,239.197.71.241,/home/home.jsp
URI,20170828093833,45kUQNlUav6YFs12jnrfJ-,00DB0000000HbMZ,005B0000002F9pMIAS,319.9406667,248,/p/setup/layout/ApexDebugLogDetailEdit/d,sample13,sample13,R,255.9525333,15481,198.4,,2017-08-28T09:38:33.000Z,005B0000002F9pM,232.254.139.63,/home/showAllTabs.jsp
URI,20170806032253,45wOXZzRvu5NMw86ihzoE-,00DB0000000HbMZ,005B0000002F9oFIAS,596.25,477,/secur/contentDoor,sample,sample,,214.1412,6734,381.6,,2017-08-06T03:22:53.000Z,005B0000002F9oF,191.171.101.39,/maps/SourceBuilder
URI,20161003033302,45xKBMvBuk0XPl59bzolL-,00DB0000000HbMZ,005B0000002F9oSIAS,784.977,466,/secur/frontdoor.jsp,sample13,sample13,R,627.9816,20214,372.8,,2016-10-03T03:33:02.000Z,005B0000002F9oS,122.112.202.154,/merge/conmergewizard.jsp
URI,20170823001928,45fSZFbTvd5KIp23ojegY-,00DB0000000HbMZ,005B0000002F9o7IAC,540.51375,413,/secur/logout.jsp,sample14,sample14,S,432.411,15705,330.4,,2017-08-23T00:19:28.000Z,005B0000002F9o7,121.198.181.250,/p/setup/layout/ApexDebugLogDetailEdit/d
URI,20170815192932,45yYAEtVjy7EDe70cebpZ-,00DB0000000HbMZ,005B0000002F9pWIAS,193.75,155,/ui/list/FilterEditPage,sample,sample,F,62.84733333,6082,124,,2017-08-15T19:29:32.000Z,005B0000002F9pW,92.156.23.223,/secur/contentDoor
URI,20170805074104,45mYMSfGoy0DIv04okrmP-,00DB0000000HbMZ,005B0000002F9o2IAC,355.812,199,/visualforce/session,sample14,sample14,,284.6496,21456,159.2,,2017-08-05T07:41:04.000Z,005B0000002F9o2,181.180.1.58,/secur/frontdoor.jsp
URI,20170816181443,45eVFMdFyb0ITf26rxqyK-,00DB0000000HbMZ,005B0000002F9o9IAC,283.75,227,/001,sample15,sample15,S,138.9088667,9179,181.6,,2017-08-16T18:14:43.000Z,005B0000002F9o9,39.105.208.2,/secur/logout.jsp
URI,20170826210024,45yYIQcVwd1EHd79pkbrV-,00DB0000000HbMZ,005B0000002F9o2IAC,547.5,438,/001/e,sample,sample,R,73.9928,2534,350.4,,2017-08-26T21:00:24.000Z,005B0000002F9o2,34.3.159.189,/ui/list/FilterEditPage
URI,20170808054723,45yTNDcNqg1TYu50jknuE-,00DB0000000HbMZ,005B0000002F9oSIAS,250.6298333,179,/001/o,sample15,sample15,R,200.5038667,16802,143.2,,2017-08-08T05:47:23.000Z,005B0000002F9oS,11.103.255.194,/visualforce/session
URI,20170808110711,45fEARkTzb5BVx01jcmbE-,00DB0000000HbMZ,005B0000002F9q6IAC,79.93775,57,/0013600000NDJPY,sample16,sample16,R,63.9502,16829,45.6,,2017-08-08T11:07:11.000Z,005B0000002F9q6,164.35.221.154,/001
URI,20170830183746,45uGYBjVbi4VHc74jylsI-,00DB0000000HbMZ,005B0000002F9rNIAS,76.25,61,/0013600000ZTBQR,sample,sample,F,14.81486667,3643,48.8,,2017-08-30T18:37:46.000Z,005B0000002F9rN,174.84.112.226,/001/e
URI,20170808094410,45zCUJlSec3NDa92ayxzV-,00DB0000000HbMZ,005B0000002F9o0IAC,523.75,419,/003,sample16,sample16,R,311.8477333,11164,335.2,,2017-08-08T09:44:10.000Z,005B0000002F9o0,73.125.239.247,/001/o
URI,20170805202320,45cHDRjJwf0XMw60ukvqE-,00DB0000000HbMZ,005B0000002F9oAIAS,118.75,95,/003/o,sample17,sample17,F,9.227666667,1457,76,,2017-08-05T20:23:20.000Z,005B0000002F9oA,241.86.244.138,/0013600000NDJPY
URI,20170828102407,45nMXOmAxe4SCe49xkinO-,00DB0000000HbMZ,005B0000002F9pxIAC,368.75,295,/0033600000FfCxP,sample,sample,S,35.223,1791,236,,2017-08-28T10:24:07.000Z,005B0000002F9px,14.239.255.151,/0013600000ZTBQR
URI,20170827170835,45cFTCqFwo2QHt04oihwG-,00DB0000000HbMZ,005B0000002F9oZIAS,615.0320833,335,/0033600000FfCxP/e,sample17,sample17,S,492.0256667,22031,268,,2017-08-27T17:08:35.000Z,005B0000002F9oZ,110.40.15.18,/003
URI,20170805050455,45bGWRdOpf3VAh40suwjL-,00DB0000000HbMZ,005B0000002F9pLIAS,98.75,79,/0033600000FfCxq,sample18,sample18,F,23.36293333,4436,63.2,,2017-08-05T05:04:55.000Z,005B0000002F9pL,221.172.68.31,/003/o
URI,20170822054438,45jEGWnTyo2JKo40gftqL-,00DB0000000HbMZ,005B0000002F9pNIAS,93.75,75,/0033600000FfCxq/e,sample,sample,F,62.99,12598,60,,2017-08-22T05:44:38.000Z,005B0000002F9pN,86.222.112.152,/0033600000FfCxP
URI,20170812235500,45kDUJvGdy4EIz99fprlY-,00DB0000000HbMZ,005B0000002F9p8IAC,401.25,321,/0033600000FfCyi,sample18,sample18,R,295.7052,13818,256.8,,2017-08-12T23:55:00.000Z,005B0000002F9p8,58.40.38.8,/0033600000FfCxP/e
URI,20170808144700,45hFKCoDmn8DAt35gywfT-,00DB0000000HbMZ,005B0000002F9obIAC,462.5,370,/0033600000FfCyi/e,sample19,sample19,F,297.332,12054,296,,2017-08-08T14:47:00.000Z,005B0000002F9ob,218.158.87.74,/0033600000FfCxq
URI,20170805181807,45fFITiAar1SGh94wyofA-,00DB0000000HbMZ,005B0000002F9o1IAC,498.75,399,/005,sample,sample,S,194.579,7315,319.2,,2017-08-05T18:18:07.000Z,005B0000002F9o1,49.173.36.129,/0033600000FfCxq/e
URI,20170828075631,45uVJXeSmq0VLo65isgzK-,00DB0000000HbMZ,005B0000002F9oAIAS,156.25,125,/00536000002sx5h,sample19,sample19,F,67.575,8109,100,,2017-08-28T07:56:31.000Z,005B0000002F9oA,241.86.244.138,/0033600000FfCyi
URI,20170815215611,45fBTUyMhi2JBs69ertvO-,00DB0000000HbMZ,005B0000002F9pBIAS,61.39225,37,/00O,sample20,sample20,S,49.1138,19911,29.6,,2017-08-15T21:56:11.000Z,005B0000002F9pB,54.145.78.232,/0033600000FfCyi/e
URI,20170806040428,45cYLVcTpk6FMh72kwvtI-,00DB0000000HbMZ,005B0000002F9rNIAS,132.5,106,/00O36000005FfKZ,sample,sample,,71.02706667,10051,84.8,,2017-08-06T04:04:28.000Z,005B0000002F9rN,91.21.87.42,/005
URI,20161003053620,45dCMOjTog2JRu82ecuiG-,00DB0000000HbMZ,005B0000002F9q6IAC,123.75,99,/00O36000005FfKe,sample20,sample20,F,60.8058,9213,79.2,,2016-10-03T05:36:20.000Z,005B0000002F9q6,164.35.221.154,/00536000002sx5h
URI,20170807040610,45aVPQdRaz2CBy69gdobN-,00DB0000000HbMZ,005B0000002F9pXIAS,306.91925,233,/00O36000005FfL3,sample21,sample21,R,245.5354,15807,186.4,,2017-08-07T04:06:10.000Z,005B0000002F9pX,83.230.35.57,/00O
URI,20170828223402,45jLYPkDem0NEr40ektfZ-,00DB0000000HbMZ,005B0000002F9oTIAS,16.65625,13,/070,sample,sample,S,13.325,15375,10.4,,2017-08-28T22:34:02.000Z,005B0000002F9oT,74.142.113.238,/00O36000005FfKZ
URI,20170821053448,45rWLGcUpa5NEv65fbjnY-,00DB0000000HbMZ,005B0000002F9nyIAC,615,492,/07036000000MzC2,sample21,sample21,R,105.3208,3211,393.6,,2017-08-21T05:34:48.000Z,005B0000002F9ny,254.140.202.60,/00O36000005FfKe
URI,20170806210458,45vMOPzCid8ZXk84eipvU-,00DB0000000HbMZ,005B0000002F9obIAC,365.5441667,190,/_ui/analytics/crt/setup/CrtWizard,sample22,sample22,R,292.4353333,23087,152,,2017-08-06T21:04:58.000Z,005B0000002F9ob,218.158.87.74,/00O36000005FfL3
URI,20170813022336,45jDIOvLcw2TRy96sbtoS-,00DB0000000HbMZ,005B0000002F9nzIAC,101.25,81,/_ui/analytics/crt/setup/CustomReportTypeSplashUi,sample,sample,F,76.275,14125,64.8,,2017-08-13T02:23:36.000Z,005B0000002F9nz,197.101.202.108,/070
URI,20170826193256,45kJIZhSbh7XOp59vfjqR-,00DB0000000HbMZ,005B0000002F9o3IAC,285,228,/_ui/common/data/LookupPage,sample22,sample22,S,138.624,9120,182.4,,2017-08-26T19:32:56.000Z,005B0000002F9o3,57.24.248.185,/07036000000MzC2
URI,20170830012505,45qSAQoMks5REa12emvcA-,00DB0000000HbMZ,005B0000002F9o7IAC,607.95,360,/_ui/common/data/LookupResultsFrame,sample23,sample23,S,486.36,20265,288,,2017-08-30T01:25:05.000Z,005B0000002F9o7,14.26.184.106,/_ui/analytics/crt/setup/CrtWizard
URI,20170826204507,45yUVAwRng6DCa01dqnhA-,00DB0000000HbMZ,005B0000002F9o1IAC,12.5,10,/_ui/common/data/LookupSearchFrame,sample,sample,,1.975333333,2963,8,,2017-08-26T20:45:07.000Z,005B0000002F9o1,66.43.188.86,/_ui/analytics/crt/setup/CustomReportTypeSplashUi
URI,20170812093436,45nHKJfIdh5NBm65xebyR-,00DB0000000HbMZ,005B0000002F9o6IAC,206.1596667,122,/_ui/core/userprofile/UserProfilePage,sample23,sample23,S,164.9277333,20278,97.6,,2017-08-12T09:34:36.000Z,005B0000002F9o6,43.10.59.246,/_ui/common/data/LookupPage
URI,20170820152300,45kAJLdHxd6HRz13rmlkT-,00DB0000000HbMZ,005B0000002F9o9IAC,396.3324167,217,/_ui/perms/ui/profile/ApexClassProfilePermissionEdit/e,sample24,sample24,F,317.0659333,21917,173.6,,2017-08-20T15:23:00.000Z,005B0000002F9o9,39.105.208.2,/_ui/common/data/LookupResultsFrame
URI,20170812093224,45nFQAuZgl3JMi25ukigF-,00DB0000000HbMZ,005B0000002F9pfIAC,287.4015,162,/_ui/sales/forecasting/ui/ForecastingTabPage,sample,sample,S,229.9212,21289,129.6,,2017-08-12T09:32:24.000Z,005B0000002F9pf,82.47.66.40,/_ui/common/data/LookupSearchFrame
URI,20170814094054,45oPZOcPne3KNq73xgpvO-,00DB0000000HbMZ,005B0000002F9rBIAS,470,376,/ex/404.jsp,sample24,sample24,F,87.9088,3507,300.8,,2017-08-14T09:40:54.000Z,005B0000002F9rB,77.61.187.26,/_ui/core/userprofile/UserProfilePage
URI,20170809002422,45nNCQxYch1XPm77vbylG-,00DB0000000HbMZ,005B0000002F9o2IAC,580,464,/ex/exception.jsp,sample25,sample25,S,173.1648,5598,371.2,,2017-08-09T00:24:22.000Z,005B0000002F9o2,34.3.159.189,/_ui/perms/ui/profile/ApexClassProfilePermissionEdit/e
URI,20170812064025,45kIHKxRtk9PLj08ncueK-,00DB0000000HbMZ,005B0000002F9q6IAC,613.75,491,/home/home.jsp,sample,sample,R,224.6161333,6862,392.8,,2017-08-12T06:40:25.000Z,005B0000002F9q6,164.35.221.154,/_ui/sales/forecasting/ui/ForecastingTabPage
URI,20170816220236,45hNWLrNfa5VWt73wqteM-,00DB0000000HbMZ,005B0000002F9nyIAC,566.25,453,/home/showAllTabs.jsp,sample25,sample25,S,432.5848,14324,362.4,,2017-08-16T22:02:36.000Z,005B0000002F9ny,195.54.111.90,/ex/404.jsp
URI,20170828224509,45qYPDpPdl1VSa42ptndX-,00DB0000000HbMZ,005B0000002F9o9IAC,164.9266667,88,/maps/SourceBuilder,sample26,sample26,S,131.9413333,22490,70.4,,2017-08-28T22:45:09.000Z,005B0000002F9o9,26.55.149.100,/ex/exception.jsp
URI,20170830203217,45fKWEaIad7DSq13tvjiI-,00DB0000000HbMZ,005B0000002F9o2IAC,408.9003333,217,/merge/conmergewizard.jsp,sample,sample,F,327.1202667,22612,173.6,,2017-08-30T20:32:17.000Z,005B0000002F9o2,181.180.1.58,/home/home.jsp
URI,20170828043436,45qKTYqAaj5MOw54cxjmF-,00DB0000000HbMZ,005B0000002F9obIAC,328.75,263,/p/setup/layout/ApexDebugLogDetailEdit/d,sample26,sample26,R,145.4740667,8297,210.4,,2017-08-28T04:34:36.000Z,005B0000002F9ob,190.148.80.54,/home/showAllTabs.jsp
URI,20170809103910,45jBCMsIga1FUs10foxvA-,00DB0000000HbMZ,005B0000002F9pNIAS,547.5,438,/secur/contentDoor,sample27,sample27,S,146.3504,5012,350.4,,2017-08-09T10:39:10.000Z,005B0000002F9pN,244.204.43.69,/maps/SourceBuilder
URI,20161003153321,45iETHyBdg0ATe51sgzoW-,00DB0000000HbMZ,005B0000002F9oAIAS,161.25,129,/secur/frontdoor.jsp,sample,sample,R,55.0658,6403,103.2,,2016-10-03T15:33:21.000Z,005B0000002F9oA,241.86.244.138,/merge/conmergewizard.jsp
URI,20170819232125,45zGXWcTdg7XWh80iofwZ-,00DB0000000HbMZ,005B0000002F9o6IAC,509.453,294,/secur/logout.jsp,sample27,sample27,S,407.5624,20794,235.2,,2017-08-19T23:21:25.000Z,005B0000002F9o6,43.10.59.246,/p/setup/layout/ApexDebugLogDetailEdit/d
URI,20170819050036,45iKPCxTcx3JLv86ldwuT-,00DB0000000HbMZ,005B0000002F9rNIAS,106.0426667,64,/ui/list/FilterEditPage,sample28,sample28,,84.83413333,19883,51.2,,2017-08-19T05:00:36.000Z,005B0000002F9rN,91.21.87.42,/secur/contentDoor
URI,20170806100643,45dJVHaAru0HZd81faytK-,00DB0000000HbMZ,005B0000002F9o2IAC,365,292,/visualforce/session,sample,sample,F,90.42266667,4645,233.6,,2017-08-06T10:06:43.000Z,005B0000002F9o2,34.3.159.189,/secur/frontdoor.jsp
URI,20170807100830,45fOHZgZhm6NBd47kivjG-,00DB0000000HbMZ,005B0000002F9oZIAS,38.75,31,/001,sample28,sample28,,6.276466667,3037,24.8,,2017-08-07T10:08:30.000Z,005B0000002F9oZ,110.40.15.18,/secur/logout.jsp
URI,20170823075003,45tRMVqDof2YLd26vkuyS-,00DB0000000HbMZ,005B0000002F9pXIAS,318.75,255,/001/e,sample29,sample29,F,179.537,10561,204,,2017-08-23T07:50:03.000Z,005B0000002F9pX,83.230.35.57,/ui/list/FilterEditPage
URI,20170819151937,45aVMIjSuv2PRy76kjhgI-,00DB0000000HbMZ,005B0000002F9q6IAC,333.75,267,/001/o,sample,sample,S,247.1708,13886,213.6,,2017-08-19T15:19:37.000Z,005B0000002F9q6,164.35.221.154,/visualforce/session
URI,20170809072227,45zRKDjQqs5LQk73njyaG-,00DB0000000HbMZ,005B0000002F9oEIAS,506.7955,327,/0013600000NDJPY,sample29,sample29,S,405.4364,18598,261.6,,2017-08-09T07:22:27.000Z,005B0000002F9oE,202.217.102.229,/001
URI,20170826003931,45gONFjSkq8CFd56rqfoR-,00DB0000000HbMZ,005B0000002F9o6IAC,553.75,443,/0013600000ZTBQR,sample30,sample30,S,78.88353333,2671,354.4,,2017-08-26T00:39:31.000Z,005B0000002F9o6,156.226.6.98,/001/e
URI,20161003193229,45gGIRoPsp6OCx02eplbT-,00DB0000000HbMZ,005B0000002F9pYIAS,200,160,/003,sample,sample,F,52.61866667,4933,128,,2016-10-03T19:32:29.000Z,005B0000002F9pY,245.57.23.167,/001/o
URI,20170823105853,45oSJTfAye7BKw13jmzsY-,00DB0000000HbMZ,005B0000002F9oQIAS,61.25,49,/003/o,sample30,sample30,,12.1912,3732,39.2,,2017-08-23T10:58:53.000Z,005B0000002F9oQ,23.10.236.110,/0013600000NDJPY
URI,20170820032449,45nHUOhFus7KFo95fysmI-,00DB0000000HbMZ,005B0000002F9rOIAS,422.5,338,/0033600000FfCxP,sample31,sample31,S,133.3973333,5920,270.4,,2017-08-20T03:24:49.000Z,005B0000002F9rO,98.11.196.107,/0013600000ZTBQR
URI,20170826134418,45sEVLqTyi5IQz48nmduL-,00DB0000000HbMZ,005B0000002F9oEIAS,380,304,/0033600000FfCxP/e,sample,sample,R,80.3168,3963,243.2,,2017-08-26T13:44:18.000Z,005B0000002F9oE,39.124.13.13,/003
URI,20170828032107,45dHEUaIwz9CQd88ozwdD-,00DB0000000HbMZ,005B0000002B0DzIAK,485,388,/0033600000FfCxq,sample31,sample31,R,273.2554667,10564,310.4,,2017-08-28T03:21:07.000Z,005B0000002B0Dz,184.232.57.227,/003/o
URI,20170826055516,45fNWVqOiw4XBg20mgvnH-,00DB0000000HbMZ,005B0000002F9o0IAC,312.48,155,/0033600000FfCxq/e,sample32,sample32,F,249.984,24192,124,,2017-08-26T05:55:16.000Z,005B0000002F9o0,73.125.239.247,/0033600000FfCxP
URI,20170816211142,45hOCMmSwp0RTy69awvjG-,00DB0000000HbMZ,005B0000002F9pLIAS,421.25,337,/0033600000FfCyi,sample,sample,R,217.0055333,9659,269.6,,2017-08-16T21:11:42.000Z,005B0000002F9pL,221.172.68.31,/0033600000FfCxP/e
URI,20170819140154,45gDUCxGqf1SAy47imodT-,00DB0000000HbMZ,005B0000002F9o8IAC,823.1275,403,/0033600000FfCyi/e,sample32,sample32,S,658.502,24510,322.4,,2017-08-19T14:01:54.000Z,005B0000002F9o8,19.86.62.216,/0033600000FfCxq
URI,20170816085343,45eZXIdCpf5EJp73scdiO-,00DB0000000HbMZ,005B0000002F9o9IAC,328.75,263,/005,sample33,sample33,S,190.1665333,10846,210.4,,2017-08-16T08:53:43.000Z,005B0000002F9o9,39.105.208.2,/0033600000FfCxq/e
